ts	sIP	tcp_sPort	udp_sPort	dIP	tcp_dPort	udp_dPort	ip_len	ip_hdr_len	ip_proto	tcp_flags	tcp_seq	tcp_ack	tls_hostname	dns_hostname	dns_ip	rtp_seq	rtp_payload_type	rtp_ts	rtp_marker	rtp_ext_flag	rtp_ext_len	rtp_padding_len
1652830551.006399967	192.168.1.236	53836		128.111.52.93	4506		52	20	6	0x0011	3478269915	2969369976										
1652830551.006885143	128.111.52.93	4506		192.168.1.236	53836		52	20	6	0x0011	2969369976	3478269916										
1652830551.006948438	192.168.1.236	53836		128.111.52.93	4506		52	20	6	0x0010	3478269916	2969369977										
1652830551.051856363	192.168.1.236			193.201.166.129			84	20	1													
1652830551.143334183	192.168.1.236		57928	192.168.1.1		53	63	20	17													
1652830551.145160186	192.168.1.1		53	192.168.1.236		57928	115	20	17					fonts.gstatic.com,gstaticadssl.l.google.com	172.217.14.67							
1652830551.148419755	192.168.1.236	47172		172.217.14.67	443		60	20	6	0x0002	947270830	0										
1652830551.149204259	192.168.1.236	47174		172.217.14.67	443		60	20	6	0x0002	531053899	0										
1652830551.151579400	172.217.14.67	443		192.168.1.236	47172		60	20	6	0x0012	277068123	947270831										
1652830551.151727435	192.168.1.236	47172		172.217.14.67	443		52	20	6	0x0010	947270831	277068124										
1652830551.152338886	172.217.14.67	443		192.168.1.236	47174		60	20	6	0x0012	4125371993	531053900										
1652830551.152453236	192.168.1.236	47174		172.217.14.67	443		52	20	6	0x0010	531053900	4125371994										
1652830551.152500420	192.168.1.236	47172		172.217.14.67	443		569	20	6	0x0018	947270831	277068124	fonts.gstatic.com									
1652830551.154664565	192.168.1.236	47174		172.217.14.67	443		569	20	6	0x0018	531053900	4125371994	fonts.gstatic.com									
1652830551.156116816	172.217.14.67	443		192.168.1.236	47172		52	20	6	0x0010	277068124	947271348										
1652830551.158445217	172.217.14.67	443		192.168.1.236	47174		52	20	6	0x0010	4125371994	531054417										
1652830551.163765100	172.217.14.67	443		192.168.1.236	47172		1470	20	6	0x0010	277068124	947271348										
1652830551.163886153	192.168.1.236	47172		172.217.14.67	443		52	20	6	0x0010	947271348	277069542										
1652830551.164031039	172.217.14.67	443		192.168.1.236	47172		2973	20	6	0x0018	277069542	947271348										
1652830551.164099557	192.168.1.236	47172		172.217.14.67	443		52	20	6	0x0010	947271348	277072463										
1652830551.165594122	172.217.14.67	443		192.168.1.236	47174		1470	20	6	0x0010	4125371994	531054417										
1652830551.165656306	192.168.1.236	47174		172.217.14.67	443		52	20	6	0x0010	531054417	4125373412										
1652830551.165741415	172.217.14.67	443		192.168.1.236	47174		1470	20	6	0x0010	4125373412	531054417										
1652830551.165767470	192.168.1.236	47174		172.217.14.67	443		52	20	6	0x0010	531054417	4125374830										
1652830551.165806618	172.217.14.67	443		192.168.1.236	47174		1556	20	6	0x0018	4125374830	531054417										
1652830551.165821691	192.168.1.236	47174		172.217.14.67	443		52	20	6	0x0010	531054417	4125376334										
1652830551.191074111	192.168.1.236	47172		172.217.14.67	443		116	20	6	0x0018	947271348	277072463										
1652830551.192621416	192.168.1.236	47174		172.217.14.67	443		116	20	6	0x0018	531054417	4125376334										
1652830551.193345977	192.168.1.236	47174		172.217.14.67	443		52	20	6	0x0011	531054481	4125376334										
1652830551.193637379	192.168.1.236	47172		172.217.14.67	443		144	20	6	0x0018	947271412	277072463										
1652830551.194513659	192.168.1.236	47172		172.217.14.67	443		402	20	6	0x0018	947271504	277072463										
1652830551.194778709	192.168.1.236	47172		172.217.14.67	443		140	20	6	0x0018	947271854	277072463										
1652830551.194851189	172.217.14.67	443		192.168.1.236	47172		660	20	6	0x0018	277072463	947271412										
1652830551.194965595	192.168.1.236	47172		172.217.14.67	443		52	20	6	0x0010	947271942	277073071										
1652830551.195413957	192.168.1.236	47172		172.217.14.67	443		83	20	6	0x0018	947271942	277073071										
1652830551.196171369	172.217.14.67	443		192.168.1.236	47174		660	20	6	0x0018	4125376334	531054481										
1652830551.196273478	192.168.1.236	47174		172.217.14.67	443		40	20	6	0x0004	531054481	0										
1652830551.196324347	172.217.14.67	443		192.168.1.236	47174		52	20	6	0x0011	4125376942	531054482										
1652830551.196347421	192.168.1.236	47174		172.217.14.67	443		40	20	6	0x0004	531054482	0										
1652830551.196647730	172.217.14.67	443		192.168.1.236	47172		83	20	6	0x0018	277073071	947271504										
1652830551.196705710	192.168.1.236	47172		172.217.14.67	443		52	20	6	0x0010	947271973	277073102										
1652830551.198052537	172.217.14.67	443		192.168.1.236	47172		52	20	6	0x0010	277073102	947271942										
1652830551.198950335	172.217.14.67	443		192.168.1.236	47172		700	20	6	0x0018	277073102	947271973										
1652830551.199007390	192.168.1.236	47172		172.217.14.67	443		52	20	6	0x0010	947271973	277073750										
1652830551.199057445	172.217.14.67	443		192.168.1.236	47172		1470	20	6	0x0018	277073750	947271973										
1652830551.199068204	192.168.1.236	47172		172.217.14.67	443		52	20	6	0x0010	947271973	277075168										
